,file,video_dtype,video_shape,video_min,video_max,video_mean,video_std,ppg_dtype,ppg_shape,ppg_min,ppg_max,ppg_mean,ppg_std,landmarks_dtype,landmarks_shape,landmarks_min,landmarks_max,landmarks_mean,landmarks_std,face_square,video_duration,patient_id,fold
0,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject10__p10_0.npz,uint8,"(600, 134, 169, 3)",0.0,248.0,80.96984316582767,64.67960278226012,float32,"(600,)",28.148972,169.00778,94.889725,16.852528,int16,"(600, 68, 2)",0,169,78.339375,39.32115516775953,22646,600,subject10,0
1,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject10__p10_1.npz,uint8,"(600, 152, 203, 3)",0.0,246.0,61.54658184613834,68.35793463304367,float32,"(600,)",68.0,174.49104,94.97575,21.739788,int16,"(600, 68, 2)",0,203,88.36474264705882,44.21345854186018,30856,600,subject10,0
2,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject10__p10_10.npz,uint8,"(600, 136, 163, 3)",0.0,255.0,72.45035614399134,67.53974826785642,float32,"(600,)",43.0191,208.57639,93.662575,33.316486,int16,"(600, 68, 2)",0,163,73.55183823529411,35.780181405700176,22168,600,subject10,0
3,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject10__p10_12.npz,uint8,"(600, 134, 179, 3)",0.0,247.0,86.9508802588547,65.4098229738588,float32,"(600,)",1.7180276,253.22827,93.87543,16.529104,int16,"(600, 68, 2)",0,179,78.62019607843138,41.96051323029533,23986,600,subject10,0
4,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject10__p10_13.npz,uint8,"(600, 136, 190, 3)",0.0,248.0,54.571733187134505,62.17042714252176,float32,"(600,)",8.166667,254.97661,134.75307,62.56978,int16,"(600, 68, 2)",0,190,80.08375,39.617323226878796,25840,600,subject10,0
5,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject10__p10_14.npz,uint8,"(600, 128, 172, 3)",0.0,243.0,79.90489265382752,65.65378132464822,float32,"(600,)",52.0,254.98334,104.12585,35.463478,int16,"(600, 68, 2)",0,172,75.85742647058824,39.612458938834735,22016,600,subject10,0
6,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject10__p10_15.npz,uint8,"(600, 122, 157, 3)",0.0,243.0,97.42379784321233,65.27730541500337,float32,"(600,)",29.631598,253.8575,126.12448,53.935566,int16,"(600, 68, 2)",0,157,70.4859681372549,37.8492831435336,19154,600,subject10,0
7,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject10__p10_2.npz,uint8,"(600, 142, 166, 3)",0.0,254.0,67.17802418594566,66.79692517205682,float32,"(600,)",20.0,200.18547,94.69271,24.716375,int16,"(600, 68, 2)",0,166,81.30693627450981,35.984849833983894,23572,600,subject10,0
8,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject10__p10_4.npz,uint8,"(600, 129, 166, 3)",0.0,254.0,70.8148017911439,62.73592251181333,float32,"(600,)",13.969967,176.0,94.110794,27.468204,int16,"(600, 68, 2)",0,166,74.92067401960784,39.67919756804233,21414,600,subject10,0
11,/gim/lv03/datasets/rppg/preprocessed/MMPD__subject10__p10_7.npz,uint8,"(600, 166, 211, 3)",0.0,248.0,34.43419255219932,58.83622181598955,float32,"(600,)",1.978642,243.83269,94.8218,36.340946,int16,"(600, 68, 2)",0,211,92.60144607843137,40.13001636674388,35026,600,subject10,0
