,file,video_dtype,video_shape,video_min,video_max,video_mean,video_std,ppg_dtype,ppg_shape,ppg_min,ppg_max,ppg_mean,ppg_std,landmarks_dtype,landmarks_shape,landmarks_min,landmarks_max,landmarks_mean,landmarks_std,face_square,video_duration,patient_id,fold
0,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000001__0.npz,uint8,"(600, 119, 120, 3)",0.0,255.0,65.49163779956427,48.59467084297965,float32,"(600,)",0.0,3.4093797,1.3895731,0.9991663,int16,"(600, 68, 2)",0,120,58.984607843137255,31.502481357965408,14280,600,P000001,4
1,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000002__0.npz,uint8,"(600, 117, 119, 3)",0.0,255.0,34.02279956427015,36.72923453820211,float32,"(600,)",0.0,3.4788291,0.90014595,0.99916625,int16,"(600, 68, 2)",0,119,59.351642156862745,30.79398535539086,13923,600,P000002,4
2,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000003__0.npz,uint8,"(600, 112, 116, 3)",0.0,162.0,51.64829014436234,34.518201785555384,float32,"(600,)",0.0,3.1955755,1.2347835,0.9991663,int16,"(600, 68, 2)",0,116,55.573223039215684,30.428824556277622,12992,600,P000003,1
3,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000004__0.npz,uint8,"(600, 112, 123, 3)",0.0,255.0,120.77781298393342,77.45076153052204,float32,"(600,)",0.0,3.1569571,1.3126966,0.9991663,int16,"(600, 68, 2)",0,123,55.744938725490194,31.29791706909411,13776,600,P000004,3
4,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000005__0.npz,uint8,"(600, 106, 106, 3)",0.0,217.0,49.84937631027254,34.341222891858635,float32,"(600,)",0.0,3.241727,1.3779656,0.9991663,int16,"(600, 68, 2)",0,106,51.4209068627451,27.94009205918333,11236,600,P000005,2
5,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000006__0.npz,uint8,"(600, 104, 113, 3)",0.0,255.0,51.092648296271086,34.97928559000407,float32,"(600,)",0.0,3.6665566,0.9411381,0.9991663,int16,"(600, 68, 2)",0,113,54.48703431372549,28.040899812294473,11752,600,P000006,2
6,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000007__0.npz,uint8,"(600, 102, 109, 3)",0.0,255.0,56.67918760368571,40.33594708255697,float32,"(600,)",0.0,3.090959,1.2599766,0.9991663,int16,"(600, 68, 2)",0,109,51.411433823529414,27.974175751459804,11118,600,P000007,4
7,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000008__0.npz,uint8,"(600, 101, 113, 3)",0.0,255.0,91.76848053389409,67.98819245249454,float32,"(600,)",0.0,3.1450186,0.9968695,0.9991663,int16,"(600, 68, 2)",0,113,52.33171568627451,27.459403885778418,11413,600,P000008,2
8,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000009__0.npz,uint8,"(600, 105, 117, 3)",0.0,132.0,29.71070270881382,23.715379695222527,float32,"(600,)",0.0,3.1044438,1.2079471,0.9991663,int16,"(600, 68, 2)",0,117,52.359448529411765,29.17258903776743,12285,600,P000009,3
9,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000010__0.npz,uint8,"(600, 104, 103, 3)",0.0,255.0,73.55432961994855,66.1488133314816,float32,"(600,)",0.0,3.1391087,1.091697,0.9991663,int16,"(600, 68, 2)",0,104,50.68337009803921,27.13173884693212,10712,600,P000010,1
10,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000011__0.npz,uint8,"(600, 102, 104, 3)",0.0,217.0,82.39512684347243,52.30209323226855,float32,"(600,)",0.0,3.6933305,0.83305085,0.9991663,int16,"(600, 68, 2)",0,104,49.21959558823529,27.189828797411163,10608,600,P000011,2
11,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000012__0.npz,uint8,"(600, 110, 112, 3)",0.0,135.0,41.50766215728716,25.291891235512175,float32,"(600,)",0.0,3.0778344,1.0992781,0.9991663,int16,"(600, 68, 2)",0,112,52.24345588235294,29.6712996572613,12320,600,P000012,0
12,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000013__0.npz,uint8,"(600, 114, 120, 3)",0.0,255.0,89.77617868745939,61.15779693346509,float32,"(600,)",0.0,3.158368,1.3916695,0.9991663,int16,"(600, 68, 2)",0,120,56.41921568627451,30.981844673693207,13680,600,P000013,1
13,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000014__0.npz,uint8,"(600, 125, 132, 3)",0.0,255.0,54.849267777777776,44.743899229750106,float32,"(600,)",0.0,3.111259,1.3235615,0.9991663,int16,"(600, 68, 2)",0,132,61.16020833333334,33.49592281972289,16500,600,P000014,3
14,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000015__0.npz,uint8,"(600, 111, 114, 3)",0.0,255.0,53.55834237746519,45.78524530601796,float32,"(600,)",0.0,3.1842618,1.2591642,0.9991663,int16,"(600, 68, 2)",0,114,53.821335784313725,29.6954451709678,12654,600,P000015,3
15,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000016__0.npz,uint8,"(600, 107, 102, 3)",0.0,255.0,70.94724003827908,71.52948408030012,float32,"(600,)",0.0,3.4975028,0.9111153,0.9991663,int16,"(600, 68, 2)",0,107,50.70294117647059,27.431223107134734,10914,600,P000016,0
16,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000017__0.npz,uint8,"(600, 120, 122, 3)",0.0,255.0,65.55425922131147,51.60961125795639,float32,"(600,)",0.0,3.1828856,1.0914947,0.9991663,int16,"(600, 68, 2)",0,122,58.18035539215686,31.547875753837673,14640,600,P000017,0
17,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000018__0.npz,uint8,"(600, 106, 110, 3)",0.0,255.0,87.90065699447304,50.72753114186642,float32,"(600,)",0.0,3.320635,0.9140161,0.9991663,int16,"(600, 68, 2)",0,110,52.49110294117647,28.98812585266918,11660,600,P000018,3
18,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000019__0.npz,uint8,"(600, 98, 116, 3)",0.0,255.0,48.90105207600281,36.254711519812254,float32,"(600,)",0.0,3.1043322,1.1798539,0.9991663,int16,"(600, 68, 2)",0,116,52.67265931372549,28.70966552650408,11368,600,P000019,4
19,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000020__0.npz,uint8,"(600, 107, 112, 3)",0.0,187.0,38.96601079216733,31.395774374640368,float32,"(600,)",0.0,3.932127,0.8172318,0.9991663,int16,"(600, 68, 2)",0,112,53.569742647058824,28.668802451487174,11984,600,P000020,2
20,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000021__0.npz,uint8,"(600, 101, 110, 3)",0.0,255.0,60.59955290529053,52.636255177833846,float32,"(600,)",0.0,3.3798554,0.8715922,0.9991663,int16,"(600, 68, 2)",0,110,52.46539215686275,27.85914331099726,11110,600,P000021,4
21,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000022__0.npz,uint8,"(600, 102, 111, 3)",0.0,198.0,68.009829044731,45.844916345688645,float32,"(600,)",0.0,3.8757946,0.7853371,0.9991663,int16,"(600, 68, 2)",0,111,52.36189950980392,28.828967370115024,11322,600,P000022,2
22,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000023__0.npz,uint8,"(600, 103, 109, 3)",0.0,109.0,34.67347728194927,22.467483440908318,float32,"(600,)",0.0,3.145701,1.3412129,0.9991663,int16,"(600, 68, 2)",0,109,51.010747549019605,27.827868484527354,11227,600,P000023,0
23,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000024__0.npz,uint8,"(600, 118, 119, 3)",0.0,169.0,50.90912785453164,31.106914272328645,float32,"(600,)",0.0,3.1878037,1.076173,0.9991663,int16,"(600, 68, 2)",0,119,56.01837009803921,31.263161436900365,14042,600,P000024,3
24,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000025__0.npz,uint8,"(600, 105, 112, 3)",0.0,157.0,56.654994614512475,43.00651888358662,float32,"(600,)",0.0,3.1921868,1.1667957,0.9991663,int16,"(600, 68, 2)",0,112,52.76067401960784,28.143262524556206,11760,600,P000025,3
25,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000026__0.npz,uint8,"(600, 113, 120, 3)",0.0,167.0,66.70142014913144,44.48838630614474,float32,"(600,)",0.0,4.0490184,0.6949049,0.9991663,int16,"(600, 68, 2)",0,120,56.297757352941176,30.94980724495624,13560,600,P000026,2
26,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000027__0.npz,uint8,"(600, 108, 115, 3)",0.0,255.0,96.34120227232063,78.34889883981505,float32,"(600,)",0.0,3.2131877,1.2601103,0.9991663,int16,"(600, 68, 2)",0,115,54.09912990196079,29.213381036707656,12420,600,P000027,3
27,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000028__0.npz,uint8,"(600, 110, 116, 3)",0.0,207.0,66.13028004179728,41.90560163189711,float32,"(600,)",0.0,3.3531575,1.0216897,0.9991663,int16,"(600, 68, 2)",0,116,54.75524509803922,29.750872403401157,12760,600,P000028,2
28,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000029__0.npz,uint8,"(600, 103, 110, 3)",0.0,255.0,65.85002137883691,54.738475842496825,float32,"(600,)",0.0,3.9649944,0.71803355,0.9991663,int16,"(600, 68, 2)",0,110,50.20696078431372,27.71487505991498,11330,600,P000029,1
29,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000030__0.npz,uint8,"(600, 106, 113, 3)",0.0,255.0,62.48311459898703,51.8902050570573,float32,"(600,)",0.0,3.288815,0.9043768,0.9991663,int16,"(600, 68, 2)",0,113,52.312242647058824,28.411626695600198,11978,600,P000030,3
30,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000031__0.npz,uint8,"(600, 105, 109, 3)",0.0,255.0,53.75326595796321,53.58023905074616,float32,"(600,)",0.0,3.2944615,1.0549964,0.9991663,int16,"(600, 68, 2)",0,109,51.9414705882353,28.00780363584472,11445,600,P000031,1
31,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000032__0.npz,uint8,"(600, 127, 119, 3)",0.0,243.0,74.00794312475647,54.122871577453566,float32,"(600,)",0.0,3.0810804,1.1707106,0.9991663,int16,"(600, 68, 2)",0,127,59.28473039215686,33.08514279403705,15113,600,P000032,3
32,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000033__0.npz,uint8,"(600, 114, 129, 3)",0.0,198.0,70.57119176602143,46.619477409219584,float32,"(600,)",0.0,3.158213,1.372379,0.9991663,int16,"(600, 68, 2)",0,129,57.020514705882356,31.95218733084284,14706,600,P000033,1
33,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000034__0.npz,uint8,"(600, 110, 115, 3)",0.0,233.0,60.213405094422484,36.9541377164426,float32,"(600,)",0.0,3.115427,1.058136,0.9991663,int16,"(600, 68, 2)",0,115,53.68716911764706,29.810292621052408,12650,600,P000034,3
34,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000035__0.npz,uint8,"(600, 109, 115, 3)",0.0,218.0,37.52605606523955,39.027350053390954,float32,"(600,)",0.0,3.26496,0.93976647,0.9991663,int16,"(600, 68, 2)",0,115,55.176139705882356,29.317748619526316,12535,600,P000035,3
35,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000036__0.npz,uint8,"(600, 108, 117, 3)",0.0,255.0,52.926689573001305,41.239912485868174,float32,"(600,)",0.0,3.5554068,0.8769033,0.9991663,int16,"(600, 68, 2)",0,117,55.226642156862745,30.192103174788045,12636,600,P000036,1
36,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000037__0.npz,uint8,"(600, 110, 120, 3)",0.0,255.0,84.26039856902356,57.42426098558106,float32,"(600,)",0.0,3.1666722,1.2586877,0.9991663,int16,"(600, 68, 2)",0,120,55.176617647058826,30.71942018975916,13200,600,P000037,1
37,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000038__0.npz,uint8,"(600, 108, 113, 3)",0.0,255.0,34.50306953093703,24.861069473500294,float32,"(600,)",0.0,3.3235366,0.8966984,0.9991663,int16,"(600, 68, 2)",0,113,52.74127450980392,29.201209472385464,12204,600,P000038,2
38,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000039__0.npz,uint8,"(600, 100, 108, 3)",0.0,236.0,37.797854218107,35.1257634298147,float32,"(600,)",0.0,3.1220088,1.0056704,0.9991663,int16,"(600, 68, 2)",0,108,49.973958333333336,27.386225798716108,10800,600,P000039,1
39,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000040__0.npz,uint8,"(600, 116, 113, 3)",0.0,255.0,62.498087257993426,69.38984247975482,float32,"(600,)",0.0,3.07322,1.0855079,0.9991663,int16,"(600, 68, 2)",0,116,57.16822303921569,28.62242534922263,13108,600,P000040,0
40,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000041__0.npz,uint8,"(600, 109, 114, 3)",0.0,174.0,51.637338734195325,36.17679580116519,float32,"(600,)",0.0,3.2206242,1.1491336,0.9991663,int16,"(600, 68, 2)",0,114,53.99263480392157,29.11291417454252,12426,600,P000041,2
41,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000042__0.npz,uint8,"(600, 110, 120, 3)",0.0,193.0,71.13236106902357,48.96967586675681,float32,"(600,)",0.0,3.285324,0.91864073,0.9991663,int16,"(600, 68, 2)",0,120,55.93495098039216,29.97557680678652,13200,600,P000042,0
42,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000043__0.npz,uint8,"(600, 104, 113, 3)",0.0,218.0,90.23944486990393,58.97919415516553,float32,"(600,)",0.0,4.235629,0.7215956,0.9991663,int16,"(600, 68, 2)",0,113,53.23833333333334,28.718767112763114,11752,600,P000043,2
43,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000044__0.npz,uint8,"(600, 108, 123, 3)",0.0,112.0,42.771997306701465,29.998826481511728,float32,"(600,)",0.0,3.1211462,1.2953266,0.9991663,int16,"(600, 68, 2)",0,123,54.209767156862746,29.867008820388367,13284,600,P000044,3
44,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000045__0.npz,uint8,"(600, 115, 128, 3)",0.0,255.0,26.79671599486715,27.52074663041402,float32,"(600,)",0.0,3.2080202,1.0920645,0.9991663,int16,"(600, 68, 2)",0,128,57.53863970588235,30.06630380708923,14720,600,P000045,2
45,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000046__0.npz,uint8,"(600, 106, 118, 3)",0.0,182.0,74.45273083004655,50.11221000146091,float32,"(600,)",0.0,3.4292846,0.8918342,0.9991663,int16,"(600, 68, 2)",0,118,54.39887254901961,29.489826156965893,12508,600,P000046,4
46,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000047__0.npz,uint8,"(600, 119, 123, 3)",0.0,255.0,66.83667904017976,47.525795470884795,float32,"(600,)",0.0,3.7378268,0.94027036,0.9991663,int16,"(600, 68, 2)",0,123,58.50794117647059,32.22823571239658,14637,600,P000047,4
47,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000048__0.npz,uint8,"(600, 111, 121, 3)",0.0,219.0,88.0794202053293,60.71381617080658,float32,"(600,)",0.0,3.109868,1.0692182,0.9991663,int16,"(600, 68, 2)",0,121,55.46734068627451,30.40581184828882,13431,600,P000048,2
48,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000049__0.npz,uint8,"(600, 124, 122, 3)",0.0,169.0,57.20271545772372,39.51479435633189,float32,"(600,)",0.0,3.1297421,1.0047631,0.9991663,int16,"(600, 68, 2)",0,124,57.690428921568625,32.86742064365573,15128,600,P000049,3
49,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000050__0.npz,uint8,"(600, 98, 104, 3)",0.0,153.0,50.28024103872318,36.27006634199618,float32,"(600,)",0.0,4.060677,0.83279735,0.9991663,int16,"(600, 68, 2)",0,104,49.878272058823526,26.408098105384852,10192,600,P000050,3
50,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000051__0.npz,uint8,"(600, 109, 121, 3)",0.0,255.0,48.55333893564502,53.75991532472598,float32,"(600,)",0.0,3.1224594,1.151491,0.9991663,int16,"(600, 68, 2)",0,121,54.75824754901961,30.297392374163383,13189,600,P000051,3
51,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000052__0.npz,uint8,"(600, 96, 108, 3)",0.0,255.0,62.307250192901236,64.6270166903739,float32,"(600,)",0.0,3.3351953,0.91491026,0.9991663,int16,"(600, 68, 2)",0,108,49.14109068627451,26.380909017225115,10368,600,P000052,0
52,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000053__0.npz,uint8,"(600, 108, 117, 3)",0.0,84.0,14.702468872005909,10.199104073402653,float32,"(600,)",0.0,3.1456015,1.0788943,0.9991663,int16,"(600, 68, 2)",0,117,53.977928921568626,29.79585550902266,12636,600,P000053,3
53,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000054__0.npz,uint8,"(600, 100, 107, 3)",0.0,255.0,89.61691723779855,83.64250126457603,float32,"(600,)",0.0,3.2255852,1.2291878,0.9991663,int16,"(600, 68, 2)",0,107,50.15879901960784,27.222776084986858,10700,600,P000054,4
54,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000055__0.npz,uint8,"(600, 108, 117, 3)",0.0,207.0,86.02249560339067,58.47830346159046,float32,"(600,)",0.0,3.1540635,1.3256187,0.9991663,int16,"(600, 68, 2)",0,117,55.97060049019608,29.99048919309874,12636,600,P000055,4
55,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000056__0.npz,uint8,"(600, 116, 113, 3)",0.0,238.0,45.47678258400298,32.59749139612996,float32,"(600,)",0.0,3.0911906,1.0973542,0.9991663,int16,"(600, 68, 2)",0,116,53.90149509803921,30.34783850105721,13108,600,P000056,0
56,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000057__0.npz,uint8,"(600, 108, 111, 3)",0.0,255.0,69.44006608460312,60.01588780675511,float32,"(600,)",0.0,3.2130933,1.2704479,0.9991663,int16,"(600, 68, 2)",0,111,52.361348039215684,28.075015341368637,11988,600,P000057,3
57,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000058__0.npz,uint8,"(600, 104, 115, 3)",0.0,247.0,69.42392572463768,54.17669953783078,float32,"(600,)",0.0,3.430349,0.9240993,0.9991663,int16,"(600, 68, 2)",0,115,53.06392156862745,28.56719044490405,11960,600,P000058,0
58,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000059__0.npz,uint8,"(600, 109, 114, 3)",0.0,210.0,73.31872337571758,58.61902246291186,float32,"(600,)",0.0,3.2273293,0.93732053,0.9991663,int16,"(600, 68, 2)",0,114,54.442230392156866,28.73510860591931,12426,600,P000059,4
59,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000060__0.npz,uint8,"(600, 109, 115, 3)",0.0,203.0,59.52571874307495,42.46238866009605,float32,"(600,)",0.0,3.07872,1.2287537,0.9991663,int16,"(600, 68, 2)",0,115,54.64526960784314,29.291136645011296,12535,600,P000060,4
60,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000061__0.npz,uint8,"(600, 101, 112, 3)",0.0,134.0,39.94601730708785,29.963354258197846,float32,"(600,)",0.0,3.0476365,1.2529311,0.9991663,int16,"(600, 68, 2)",0,112,52.20835784313726,28.254242155016318,11312,600,P000061,1
61,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000062__0.npz,uint8,"(600, 103, 105, 3)",0.0,145.0,45.75685832434376,32.988879969478155,float32,"(600,)",0.0,3.1299345,1.2526883,0.9991663,int16,"(600, 68, 2)",0,105,48.66072303921569,27.714641427902585,10815,600,P000062,0
62,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000063__0.npz,uint8,"(600, 109, 119, 3)",0.0,255.0,71.43420060990758,58.18524820556154,float32,"(600,)",0.0,3.2136672,1.3108095,0.9991663,int16,"(600, 68, 2)",0,119,55.30122549019608,30.44503361843415,12971,600,P000063,2
63,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000064__0.npz,uint8,"(600, 101, 105, 3)",0.0,176.0,47.63330357797685,34.40807640518827,float32,"(600,)",0.0,3.493781,0.8636781,0.9991663,int16,"(600, 68, 2)",0,105,50.25705882352941,27.44506186477352,10605,600,P000064,0
64,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000065__0.npz,uint8,"(600, 106, 108, 3)",0.0,231.0,44.91519930701141,43.65478845251686,float32,"(600,)",0.0,3.1423397,1.1623608,0.9991663,int16,"(600, 68, 2)",0,108,52.46886029411765,28.412065252060525,11448,600,P000065,1
65,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000066__0.npz,uint8,"(600, 108, 123, 3)",0.0,255.0,107.12986228211048,81.17121828694088,float32,"(600,)",0.0,3.1385016,1.3598199,0.9991663,int16,"(600, 68, 2)",0,123,56.30583333333333,30.532328499793145,13284,600,P000066,2
66,/gim/lv03/datasets/rppg/preprocessed/SCAMPS__P000067__0.npz,uint8,"(600, 109, 114, 3)",0.0,255.0,72.69627322638911,47.427575088103914,float32,"(600,)",0.0,3.2176542,1.343197,0.9991663,int16,"(600, 68, 2)",0,114,53.92729166666667,29.53836978370093,12426,600,P000067,2
